label	title	content
1	Payden & Rygel	 Payden & Rygel is a privately owned investment management firm based in Los Angeles with $85 billion AUM founded in 1983 by Joan Payden. The firm offers a range of mutual funds with debt and public equity based strategies. The firm's economists and portfolio managers have also been quoted by financial news organizations such as the Financial Times The Wall Street Journal and Bloomberg Businessweek.
1	Sarpsborg Papp	 Sarpsborg Papp AS was a Norwegian industrial company which ran a packaging plant in Sarpsborg Norway.Founded in 1914 as Sarpsborg Emballagefabrik it was the first corrugated paper factory in Norway. In 1961 the company was acquired by M. Peterson & Søn. It was M.
1	Carnival Films	 Carnival Films is an award winning British television production company based in London UK. It has produced television series for all the major UK networks including the BBC ITV Channel 4 and Sky as well as a number of international broadcasters including PBS A&E HBO and NBC. Its productions vary from single dramas and long-running television drama to feature film and stage productions.
1	FTL Games	 FTL Games (Faster Than Light) was the video game development division of Software Heaven Inc. FTL created several popular video games in the 1980s and early 1990s. Despite the company's small size FTL products were consistently number-one sellers and received the highest critical acclaim and industry awards.FTL was founded by Wayne Holder in 1982. Holder started Software Heaven and FTL as its game division after founding Oasis Systems which specialized in spell checking software.
1	Aller Media	 Aller Media is a magazine publisher in the Nordic countries headquartered in Copenhagen Denmark. It publishes Elle Cafe Femina Allers and Se & Hør.
1	SOCIS	 SOCIS (Ukrainian: TOB „СОЦІС - Центр соціальних та політичних досліджень) is a political sociology company in Ukraine. It was one of the companies that performed rolling and exit polls for Ukrainian elections in 1998 2002 2004 and Ukrainian referendum in 2000. The company has been a member of The Gallup Organization since 1994.
1	Arlen Realty and Development Corporation	 Arlen Realty & Development Corporation also known as Arlen was an American REIT founded in 1959 by Arthur G. Cohen Arthur N. Levien and Marshall Rose. It is notable as one of the largest publicly traded REIT's in the 1970s. Arlen began by developing suburban shopping centers throughout the country and in 1971 purchased national discount retail chain E.J. Korvette.
1	Mydin	 Mydin is a Malaysian chain of hypermarket supermarket & emporiums. It is notable for bringing local & overseas products at affordable prices catering to a large segment of Malaysian population.[citation needed]
1	K.A. Rasmussen	 K. A. Rasmussen AS (abbreviated KAR) is a Norwegian precious metal company specialized in the fabrication of semi-manufactured bars and wires for various metal industries as well as catalysts for chemical industries.
1	Linxair	 Linxair was a business airline based in Slovenia. It was established and started operations in 1999 at its base Ljubljana Jože Pučnik Airport (LJU). Was the fastest growing aviation company in Slovenian history and biggest business aviation operator in the area of former Yugoslavia. But due to financial difficulties started in 2009 company ceased commercial operations in 2012. Small part of fleet continued operation under another operator SiAvia.
1	Teichiku Records	 Teichiku Records is a Japanese record label run by the Teichiku Entertainment company that specialises in enka kayōkyoku and similar music. Teichiku is an abbreviation for Teikoku Chikuonki (帝国蓄音機 imperial records) the former name of the company. Teichiku Entertainment also runs the record labels Imperial Records Takumi Note and Union Records (ユニオンレコード yunion rekōdo).It is a division of JVC Kenwood Holdings Victor Entertainment's parent.
1	Explosia a.s.	 Explosia a.s. is an explosives manufacturer in Semtín a suburb of Pardubice in the Czech Republic. The company was established in 1920. Its most famous product is the Semtex malleable explosive the name is formed as a combination of the first letters of the Semtín village and the company name.
1	DEME	 Dredging Environmental and Marine Engineering NV (in short DEME) is an international group of specialised companies in the field of capital and maintenance dredging land reclamation port infrastructure development offshore related services for the oil & gas industry farshore windfarm installation environmental remediation a.o. The groupis based in Zwijndrecht Belgium and has current operations on the five continents. The roots of the group date back to the mid 19th century.
1	Government of the Democratic Republic of the Congo	 The Government of the Democratic Republic of the Congo is the second institution in the central executive branch of the Democratic Republic of the Congo the first institution being the President of the Democratic Republic of the Congo who has the title of head of state.
1	Unibuss	 Unibuss formerly known as Nexus Trafikk and Sporveisbussene AS is a Norwegian bus company group that operates from Oslo Norway. It is a subsidiary of the municipal transportation group Sporveien and was created in 2003 so the company could compete for the public service obligation (PSO) contracts that Oslo was to operate the bus system through. Unibuss has about 1600 employees 650 buses and a revenue of NOK 1278 million in 2010.
1	LOT Polish Airlines	 Polskie Linie Lotnicze LOT S.A. (Polish pronunciation: [ˈlɔt] Flight) trading as LOT Polish Airlines is the flag carrier of Poland. Based in Warsaw LOT was established in 1929 making it one of the world's oldest airlines still in operation. Using a fleet of 55 aircraft LOT operates a complex network to 60 destinations in Europe the Middle East North America and Asia.
1	Pressed Steel Company	 Pressed Steel Company Limited was a British car body manufacturing business founded at Cowley near Oxford in 1926 as a joint venture between William Morris Budd Corporation of Philadelphia USA which held the controlling interest and a British / American bank J. Henry Schroder & Co[citation needed] At that time the company was named The Pressed Steel Company of Great Britain Limited. It acquired Budd's patent rights and processes for use in the United Kingdom.
1	Cerruti	 Cerruti is a fashion house founded in 1967 in Paris by the Italian stylist and fashion designer Nino Cerruti.The Cerruti house designs manufactures distributes and retails luxury ready-to-wear jeans fragrances sportswear leather goods watches and accessories.
1	Leopold Bros.	 Leopold Bros. is a family-owned and operated distillery located in Denver Colorado.
1	Suprema Inc.	 Suprema is a biometrics research development and manufacturing company. It provides fingerprint IP readers for physical access control systems USB readers for PC authentication and core fingerprint modules for embedded applications.
1	Uzi Suicide	 UZI Suicide was a vanity label that was created by Guns N' Roses to release their first record Live ?!*@ Like a Suicide. While seemingly an independent label it was actually created by Geffen Records. Guns N' Roses' debut album Appetite for Destruction was officially released through Geffen.
1	Kosmos Energy	 Kosmos Energy is an American international oil company founded and based in Dallas Texas. It also maintains offices in the Bermudas Morocco Suriname and Ghana. It has been involved in the discovery and development of the Jubilee oil field off the coast of Ghana.Kosmos was a focus of the BBC documentary Storyville: Power Money Greed and Oil.
1	Campus Management Corp.	 Campus Management Corp. is a private company that provides software and services to colleges universities foundations and other companies.
1	Cervélo	 Cervélo Cycles is a Canadian manufacturer of racing bicycle frames. Cervélo uses CAD computational fluid dynamics and wind tunnel testing at a variety of facilities including the San Diego Air and Space Technology Center in California USA to aid its designs. Frame materials include carbon fibre.
1	Manchester University Press	 Manchester University Press is the university press of the University of Manchester England and a publisher of academic books and journals. Manchester University Press has developed into an international publisher. It maintains its links with the University and is the third largest university press in the United Kingdom after Oxford University Press and Cambridge University Press.
1	Omniture	 In 2009 Adobe Systems acquired Omniture an online marketing and web analytics business unit in Orem Utah. Until 2011 Omniture operated as a business unit within Adobe as the Omniture Business Unit but as of 2012 Adobe began retiring the Omniture name as former Omniture products were integrated into the Adobe Marketing Cloud.
1	BancorpSouth	 BancorpSouth Inc. is a bank holding company headquartered in Tupelo Mississippi. As of March 2012 it had nearly $13.3 billion in assets. The company has over 4400 employees.
1	Aeneas Internet and Telephone	 Aeneas Communications LLC operating as Aeneas Internet and Telephone is a telecommunications provider headquartered in Jackson Tennessee. Aeneas Communications offers Internet access local and long distance service in Tennessee Voice over IP colocation business telephone systems commercial e-mail WAN (Wide area network) commercial web hosting Internet backbone connectivity for businesses and disaster preparedness options.It serves all of the state of Tennessee.
1	ECi Software Solutions	 ECi Software Solutions is a business management and e-commerce software publisher primarily serving small and medium sized businesses in the office products and furniture construction supplies hardware sanitation manufacturing and distribution industries. ECi is a subsidiary of eCommerce Industries Inc.ECi was founded in 1999 and is based in Fort Worth Texas.ECi holds a ‘Connect Conference’ a national meeting for its software users and strategic partners.
1	Ocean Shores Video	 Ocean Shores Video (Hong Kong) Co Ltd (Chinese: 海岸贡献錄影 (香港) 有限公司 or Chinese: 海岸贡献) is the home video division of Win's Entertainment (Hong Kong) Co Ltd. The company is owned by Television Broadcasts Limited the entertainment division of Panasonic Pioneer and Philips was a Hong Kong based distributor of martial arts films in the 1980s.Ocean Shores was a video company that ran major distribution rights to many of the biggest indie and later Shaw Brothers and Golden Harvest movies.
1	Desire Petroleum	 Desire Petroleum plc (LSE:DES) is an oil and gas exploration company headquartered in Malvern United Kingdom. It owns offshore exploration and production licences in the North Falkland Basin in the waters north of the Falkland Islands and its core focus is to develop the basin into a major new hydrocarbon province.Desire Petroleum is listed on the Alternative Investment Market of the London Stock Exchange.
1	Zagtoon	 Zagtoon is a production company specialized in animated series for kids founded in 2009 by Jeremy Zag and Jacqueline Tordjman co-founder of Saban Entertainment which has launched series such as Power Rangers and scored the soundtracks for series such as Inspector Gadget. Zagtoon develops properties worldwide through Europe the United-States and Asia.
1	Nationale Regionale Transport	 Nationale Regionale Transport is a domestic airline based in Libreville Gabon. Its main base is Libreville International Airport.The airline is on the list of air carriers banned in the European Union.
1	R. Hoe & Company	 R. Hoe & Company was a New York City based printing press manufacturer established by Peter Smith Matthew Smith (?–1822) and their brother-in-law English emigrant Robert Hoe (1784–1833) in 1805 as Smith Hoe & Company.
1	Mercury Records	 Mercury Records is an American-based record label owned by Universal Music Group. In the United States it operates through Island Records; in the UK it is distributed by Virgin EMI Records.
1	SsangYong Motor Company	 SsangYong Motor Company or SsangYong Motor (Korean: 쌍용자동차 IPA: [s͈aŋjoŋ dʑadoŋtɕʰa]) is the fourth largest South Korea-based automobile manufacturer. The name SsangYong means double dragons.A 70% share of SsangYong was acquired by Indian Mahindra & Mahindra Limited in February 2011 after being named the preferred bidder in 2010 to acquire the bankruptcy-protected company. Mahindra's acquisition was approved by South Korea's Free Trade Commission.
1	Jugos del Valle	 Jugos del Valle (Del Valle Juices) is one of the biggest producers of fruit juices and beverages in Mexico. It has been active since 1947. Today Jugos del Valle is one of the leading food juice and beverage companies in Mexico. Del Valle owns popular brands like Val-Vita Barrilitos and Florida 7. Operations range from the USA to Brazil Venezuela and Puerto Rico keeping up with leadership in innovation productivity and service.
1	Applied Science International	 Applied Science International LLC aka ASI is a United States based company headquartered in Raleigh North Carolina that provides advanced engineering design and analysis software and services to the DHS United States Department of Defense Engineering Firms Demolition Contractors and Universities.
1	Baupost Group	 The Baupost Group LLC is a hedge fund founded in 1982 by Seth Klarman who continues to run the fund. Baupost Group's investment philosophy emphasizes risk management. The firm one of the largest hedge funds in the world is a value investing manager. According to Bloomberg L.P. Baupost is ranked 4th in net gains since inception.
1	Sheetz	 Sheetz Inc. is a chain of gas stations/convenience stores owned by the Sheetz family. Its headquarters are in Altoona Pennsylvania. Stores are located in Maryland North Carolina Ohio Pennsylvania Virginia and West Virginia.Sheetz has long employed the Z that the name ends with in various marketing efforts. These include the Sheetz loadable gift card the Z card; the Sheetz breakfast sandwich known and marketed as Shmuffinz; and their Nachoz.
1	Probitas Partners	 Probitas Partners is a global investment bank focused on raising capital as a placement agent for private equity fund sponsors as well as providing portfolio management and liquidity solutions through the private equity secondary market for investors in private equity. The firm operates through three primary businesses: fund placement portfolio management and secondary advisory.
1	Les Disques du Crépuscule	 Les Disques Du Crépuscule is a Belgian independent record label. The label was founded in 1980 by Michel Duval and Annik Honoré. It is now run by former employee James Nice.Crépuscule translates as twilight with most of the label's catalogue numbers being prefixed by the letters TWI.
1	TARBS World TV	 Television And Radio Broadcasting System more commonly known as TARBS World TV was an Australian Subscription Television Service broadcasting predominantly ethnic (and mainly non-English) stations into Australia. TARBS commenced operations in 1995 and had around 57000 subscribers until July 2004 when the company went into receivership.
1	Patriot Rail Corporation	 Patriot Rail Corporation is a holding company for a number of shortline railroads across the United States including one contract operation in North Carolina. The company was started in 2006 by RailAmerica co-founders Gary Marino and John Marino and is headquartered at Boca Raton Florida. In January 2011 Patriot Rail purchased the railroads of the Weyerhaeuser Company which effectively doubled the number of Patriot Rail holdings.
1	Orenstein & Koppel	 Orenstein & Koppel (normally abbreviated to O&K) was a major German engineering company specialising in railway vehicles escalators and heavy equipment. It was founded on April 1 1876 in Berlin by Benno Orenstein and Arthur Koppel.Originally a general engineering company O&K soon started to specialise in the manufacture of railway vehicles. The company also manufactured heavy equipment and escalators. O&K pulled out of the railway business in 1981.
1	Maire Tecnimont	 Maire Tecnimont SpA is the parent company of the Italian group Maire Tecnimont which consists of at least 50 operating companies in the engineering and main contracting sector. It deals in oil and gas chemicals and petrochemicals energy infrastructure and civil engineering. It is also active in the renewable energy sector in the provision of project management engineering procurement and construction.
1	Priestman Brothers	 Priestman Brothers was an engineering company based in Kingston upon Hull UK that manufactured diggers dredgers cranes and other industrial machinery. In the later 1900s the company also produced the Priestman Oil Engine an early design of oil fuelled internal combustion engine.
1	Hickory Tech	 HickoryTech Corporation (NASDAQ: HTCO) is an integrated communication service provider. The company operates its business under the name of HickoryTech and Enventis through three segments including Fiber and Data Equipment and Telecom. The company was founded in 1898 and is headquartered in Mankato Minnesota. It is a supplier of Smartnet maintenance contracts with its partner Cisco systems. The company’s telecom segment serves about 13 Minnesota communities and 13 lowa communities.
1	Amsoft	 Amsoft was a wholly owned subsidiary of Amstrad PLC founded in 1984 and re-integrated with its parent company in 1989. Its purpose was to provide an initial infrastructure of software and services for users of Amstrad's range of home computers the Amstrad CPC and from 1986 the Sinclair ZX Spectrum. Many people's first contact with software on an Amstrad home computer would have been an Amsoft title as several titles were included in the sales bundles.
1	Domo (company)	 Domo is an American computer software corporation headquartered in American Fork Utah United States. The area is referred to as Silicon Slopes.
1	Ranik Ultimate Fighting Federation	 Ranik Ultimate Fighting Federation (RUFF) is the first Chinese mixed martial arts (MMA) organization sanctioned by the General Administration of Sport of China. The winners of the title fights will be crowned as the national MMA champions of China in their respective weight classes. RUFF held its first event in August 2011 in Shanghai before presenting in Chongqing Hohhot Nanjing and Sanya.
1	Mexican Council on Foreign Relations	 The Mexican Council on Foreign Relation 'COMEXI (in Spanish Consejo Mexicano de Asuntos Internacionales) was established the 22 November 2001. So far it is the only plural and multidisciplinary forum focused in the debate and analysis of Mexico’s role in the world and the growing influence of international events on the national agenda. The Council is a civic association nonprofit and independent of government. It is financed entirely by its member's contributions
1	Varèse Sarabande	 Varèse Sarabande is an American record label distributed by Universal Music Group which specializes in film scores and original cast recordings. It aims to reissue rare or unavailable albums as well as newer releases by artists no longer under a contract. The label's name was derived from combining French-born composer Edgard Varèse's last name with the musical term sarabande a slow Spanish dance.
1	D3 LED	 D3 LED LLC (D3) is a company that manufactures turnkey LED (light emitting diode) displays and digital media solutions for advertisers architects retailers sports and entertainment venues and transportation authorities.
1	Exco International	 Exco International was a leading British money brokering company. It was listed on the London Stock Exchange and was once a constituent of the FTSE 100 Index but was acquired by British & Commonwealth Holdings in 1986.
1	Investment AB Öresund	 Investment AB Öresund is a Swedish investment company controlled by Mats Qviberg and Sven Hagströmer.
1	Hitachi Power Systems Canada	 Mitsubishi Hitachi Power Systems Canada Ltd. (MHPSC) located in Saskatoon Saskatchewan Canada was established in 1988 and is part of the Mitsubishi Hitachi Power Systems Group. In 2012 the company merged its Canadian operations in Calgary Mississauga and Saskatoon into one company with its headquarters based in Saskatoon.
1	Société Nationale d'Investissement	 Société Nationale d'Investissement (SNI) or National Investment Company is a large private Moroccan holding company controlled by the Moroccan royal family. The holding company used to be the majority shareholder of the now defunct ONA Group until the activities of the latter were absorbed into the SNI and subsequently disposed of.In 2012 the company's consolidated turnover was 53 billion MAD and its net income was 5 billion MAD
1	Maine Chance Farm	 Maine Chance Farm was an American Thoroughbred horse racing stable in Lexington Kentucky owned by cosmetics tycoon Elizabeth Arden. Elizabeth Arden raced under the nom de course Mr. Nightingale until 1943 when she adopted the name Maine Chance Farm from her health spa in Mount Vernon Maine. During the nineteen forties and fifties the Maine Chance Farm racing stable was a major force in American horse racing.
1	Convair	 Convair was an American aircraft manufacturing company which later expanded into rockets and spacecraft. The company was formed in 1943 by the merger of Consolidated Aircraft and Vultee Aircraft and went on to produce a number of pioneering aircraft such as the Convair B-36 bomber the F-102 Delta Dagger and the F-106 Delta Dart. It also manufactured the first Atlas rockets including the rockets that were used for the pioneering manned orbital flights of Project Mercury.
1	D&G Bus	 D&G Bus is a bus operator based in Crewe in Cheshire.
1	Dolmar	 Dolmar GmbH is one of the oldest manufacturers of portable gasoline chainsaws and is headquartered in Hamburg Germany. The company founder Emil Lerp developed in 1927 the type A saw which weighed 125 lb and required two men to operate. It was tested on Mount Dolmar in the Thüringer forest and the company took its name from the test site. In 1991 the company was acquired by Japanese tool manufacturer Makita.
1	Velocite Bikes	 Velocite Bikes is a Taiwanese manufacturer of racing bicycle mountain bike frames bicycle wheels and other bicycle components. Notable collaboration partners include the National Cheng Kung University National Center for High-Performance Computing Oxeon and Acer Inc. Velocite specializes in carbon fiber composite products but also manufactures bicycle frames and components using aluminium alloys.
1	Yates (company)	 Yates is a gardening company in New Zealand and Australia.
1	Haudenosaunee Development Institute	 Haudenosaunee Development Institute is the formal organization created by the Haudenosaunee Confederacy Chiefs Council (HCCC) in September 2007 to grant permission to third parties to undertake development upon lands where the HCCC exercise jurisdiction including that area of land considered by the Haldimand Proclamation of 1784 and the Nanfan Treaty of 1701.Haudenosaunee is the proper word used for the Six Nations Native people which is more commonly known as Iroquois by non-Haudenosaunee people.Haundenosaunee Development Institute objectives are consistent with long standing Haudenosaunee principles regarding land use land tenure and environmental planning.Recent efforts to translate these principles have included the Haudenosaunee Confederacy Chiefs Council policy statement referred to as the Eight Points of Jurisdiction which was formally adopted by the HCCC on February 3 2001.
1	Carpenter Technology Corporation	 Carpenter Technology Corporation is an international developer manufacturer and distributor of cast wrought and powder metallurgy specialty alloys/metals including superalloys ultra-high strength steels and stainless steel as well as titanium alloys in a range of product forms. Headquartered in Reading Pennsylvania Carpenter Technology maintains manufacturing and distribution operations throughout the United States Mexico Europe and Asia.
1	BBVA Bancomer	 BBVA Bancomer is a Mexican financial institution and the largest in the country dominating about 20% of the market. Founded in 1932 as Banco de Comercio (Bancomer) since 2000 its main stockholder is the Spanish bank BBVA.
1	National Association for Interpretation	 The National Association for Interpretation is a non-profit professional association of natural and cultural resources interpreters primarily in the United States. It is based in Fort Collins Colorado. NAI provides training and certification programs. The NAI publishes the Journal of Interpretation Research a peer-reviewed academic journal.
1	Grant Ritchie and Company	 Grant Ritchie and Company was a Scottish engineering firm based in Kilmarnock Scotland. The company's products included steam engines and steam locomotives.
1	Gourmet Foods	 Gourmet Foods is a bakery and confectionery chain based in Lahore Pakistan. It has seven processing units and over 100 stores in Lahore. The company was founded by Muhammad Nawaz Chatha in 1987.
1	Guess (clothing)	 Guess (styled as GUESS or Guess?) is an American upscale clothing line brand. Guess also markets other fashion accessories besides clothes such as watches jewelry and perfumes. The company also owns the line Marciano.
1	Student Volunteer Campus Community	 Student Volunteer Campus Community (abbreviated SVCC and formerly SVCC Language Schools) is a non-profit organization run by volunteers located in Edmonton Alberta Canada and operates at the University of Alberta as a student volunteer group.
1	Gold Medal Books	 Gold Medal Books launched by Fawcett Publications in 1950 was a U.S. book publisher known for introducing paperback originals a publishing innovation at the time. Fawcett was also an independent newsstand distributor and in 1949 the company negotiated a contract with New American Library to distribute their Mentor and Signet titles.
1	AlMasria Universal Airlines	 AlMasria Universal Airlines (also known as AlMasria Airlines) is an Egyptian private airline based in Egypt.The airline operates scheduled services from Egypt to the Middle East.'AlMasria' is derived from the Arabic word for 'Egyptian'.
1	Tomato Head Records	 Tomato Head Records was an independent record label started by Chuck Phelps after his split with the ska punk band Skankin' Pickle and Dill Records. The label most notably released the debut EP of Tsunami Bomb The Invasion from Within! and the Luckie Strike EP Future is Turning. The label is now in indefinite hiatus.
1	Ocean Village (company)	 Ocean Village was a British-American owned cruise line based in Southampton Hampshire UK. Designed to offer an alternative cruise experience Ocean Village was founded by P&O Princess Cruises which later merged with Carnival Corporation to form Carnival Corporation & plc. Ocean Village operated from 2003 until 2010 when the brand was discontinued with the cruise ship Ocean Village transferring to P&O Cruises Australia. Ocean Village became part of P&O Cruises Australia.
